video_name,max_blur,window_size,sigma,focal_point,dfdt
bear,11,69,5.86,207,1
bike-packing,13,108,5.18,32,3
blackswan,9,115,4.52,56,2
bmx-bumps,5,120,4.93,204,1
bmx-trees,9,106,5.09,109,5
boat,9,116,5.22,138,4
boxing-fisheye,7,76,3.98,157,3
breakdance,15,101,4.38,171,1
breakdance-flare,9,99,3.95,164,3
bus,13,65,5.79,149,4
camel,3,60,4.08,83,5
car-roundabout,5,62,4.48,39,3
car-shadow,11,89,5.76,58,5
car-turn,11,105,3.01,65,5
cat-girl,13,105,3.1,23,3
classic-car,15,81,4.18,248,5
color-run,5,69,3.22,42,1
cows,7,117,4.08,168,1
crossing,9,65,4.04,70,2
dance-jump,5,84,5.91,137,4
dance-twirl,5,113,4.28,5,3
dancing,13,88,3.65,101,5
disc-jockey,15,73,3.33,158,1
dog,9,108,4.77,51,1
dog-agility,13,80,5.42,212,5
dog-gooses,3,118,5.37,85,5
dogs-jump,13,84,4.44,252,3
dogs-scale,5,120,5.09,247,2
drift-chicane,5,115,4.48,241,3
drift-straight,7,95,4.99,229,1
drift-turn,13,107,5.51,229,5
drone,11,72,5.36,126,5
elephant,5,112,5.18,229,2
flamingo,13,73,3.59,207,1
goat,9,73,4.7,231,2
gold-fish,3,62,5.25,84,5
hike,11,79,4.01,195,1
hockey,11,114,3.13,166,3
horsejump-high,15,92,3.33,5,3
horsejump-low,15,103,3.92,99,3
india,3,106,3.9,177,4
judo,3,87,5.06,120,2
kid-football,13,77,5.82,118,4
kite-surf,9,63,4.63,125,1
kite-walk,15,85,5.71,158,5
koala,13,120,4.58,187,4
lab-coat,9,115,3.19,173,2
lady-running,9,85,5.77,157,5
libby,11,81,5.37,118,4
lindy-hop,13,118,5.01,91,1
loading,13,71,4.16,191,2
longboard,11,96,5.25,91,3
lucia,9,109,5.01,245,2
mallard-fly,5,77,3.5,146,5
mallard-water,11,88,4.54,107,5
mbike-trick,13,117,4.5,128,3
miami-surf,13,104,4.97,250,2
motocross-bumps,3,69,4.28,68,5
motocross-jump,11,72,4.1,255,4
motorbike,11,98,4.65,1,4
night-race,11,80,4.56,105,2
paragliding,7,88,3.88,160,5
paragliding-launch,7,77,4.88,102,5
parkour,11,71,5.44,239,3
pigs,13,70,4.2,106,1
planes-water,7,106,3.41,104,1
rallye,7,110,4.95,217,3
rhino,9,116,4.01,15,5
rollerblade,5,61,4.64,135,4
schoolgirls,11,91,3.38,223,2
scooter-black,13,98,3.82,118,2
scooter-board,3,103,3.25,64,3
scooter-gray,5,82,4.48,127,4
sheep,11,60,5.95,130,3
shooting,3,78,4.73,10,2
skate-park,13,91,3.17,247,5
snowboard,15,95,3.65,140,1
soapbox,5,84,4.26,106,2
soccerball,13,69,3.05,59,5
stroller,7,89,5.33,53,4
stunt,5,101,5.75,184,5
surf,15,85,4.9,233,1
swing,5,106,3.78,160,2
tennis,9,75,5.93,40,5
tractor-sand,11,85,3.58,124,1
train,15,83,5.59,118,4
tuk-tuk,15,103,3.99,83,3
upside-down,15,88,3.11,84,2
varanus-cage,5,94,5.87,87,2
walking,5,103,3.55,242,1
